epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13365.9,1.41984,2.25311,1.39601,0.31677,0.26062,0.23236,0.13153,2.02385,2.88154,1.81061,0.000302857,0.000302857,0.000302857
2,23873.7,1.31584,1.34716,1.29639,0.3924,0.35598,0.30255,0.16298,1.99729,2.92073,1.74557,0.000545877,0.000545877,0.000545877
3,33687.7,1.27332,1.19441,1.27444,0.53307,0.40012,0.37714,0.22398,1.96111,2.58324,1.75289,0.000728903,0.000728903,0.000728903
4,45668.8,1.21262,1.08471,1.24357,0.4842,0.35803,0.32519,0.19397,1.97433,2.71406,1.78966,0.000639027,0.000639027,0.000639027
5,59352.8,1.15599,0.98928,1.21309,0.43081,0.38728,0.3201,0.18951,1.92724,2.70789,1.75639,0.000549036,0.000549036,0.000549036
6,76062.6,1.11039,0.9199,1.1884,0.50771,0.42367,0.37044,0.22801,1.8931,2.95618,1.71943,0.000459045,0.000459045,0.000459045
7,95260.1,1.07088,0.86087,1.16469,0.5175,0.39497,0.36174,0.22689,1.93676,2.97178,1.76122,0.000369054,0.000369054,0.000369054
8,110835,1.03431,0.80793,1.14704,0.52546,0.43384,0.39172,0.24181,1.90022,2.92753,1.74155,0.000279063,0.000279063,0.000279063
9,123139,0.99659,0.76342,1.12395,0.56522,0.42747,0.39276,0.24527,1.91383,2.93483,1.73915,0.000189072,0.000189072,0.000189072
10,134683,0.96469,0.71677,1.10687,0.56617,0.41905,0.38551,0.24482,1.92509,3.09743,1.75149,9.9081e-05,9.9081e-05,9.9081e-05
